Date,Level,Transit,House,Profection,Score,Aspect,Meaning,Actions,Status
2029-10-20,PEAK,Pluto->Pluto,3,11,3971.8,Pluto Sq natal Pluto (5.632°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2029-10-22,HIGH,Pluto->Pluto,3,11,3226.2,Pluto Sq natal Pluto (5.632°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2029-11-16,HIGH,Pluto->Pluto,3,11,3183.8,Pluto Sq natal Pluto (5.470°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2029-12-12,HIGH,Pluto->Pluto,3,11,3207.7,Pluto Sq natal Pluto (5.012°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2029-12-15,VERY HIGH,Pluto->Pluto,3,11,3446.3,Pluto Sq natal Pluto (4.943°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2029-12-16,PEAK,Neptune->Saturn,6,11,3859.9,Neptune Sq natal Saturn (0.466°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2029-12-17,PEAK,Neptune->Saturn,6,11,3809.4,Neptune Sq natal Saturn (0.465°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2029-12-18,PEAK,Neptune->Saturn,6,11,5149.6,Neptune Sq natal Saturn (0.464°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2029-12-19,VERY HIGH,Neptune->Saturn,6,11,3567.1,Neptune Sq natal Saturn (0.463°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2029-12-20,PEAK,Neptune->Saturn,6,11,3784.5,Neptune Sq natal Saturn (0.464°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2029-12-21,PEAK,Mercury->Neptune,6,11,4435.0,Mercury Conj natal Neptune (7.467°),"Ideas spread through your network. Publish, pitch, post.","Write and publish something bold
Send the pitch deck
Start a community conversation",Upcoming
2029-12-23,HIGH,Sun->Uranus,6,11,3192.5,Sun Conj natal Uranus (0.035°),Sun energy in H6. Bold decisions now.,"Make the major move
Act on what youve been delaying
Build something that lasts",Upcoming
2030-01-09,HIGH,Mercury->Uranus,6,11,3184.8,Mercury Conj natal Uranus (0.242°),"Ideas spread through your network. Publish, pitch, post.","Write and publish something bold
Send the pitch deck
Start a community conversation",Upcoming
2030-01-10,PEAK,Mercury->Uranus,6,11,3714.0,Mercury Conj natal Uranus (0.429°),"Ideas spread through your network. Publish, pitch, post.","Write and publish something bold
Send the pitch deck
Start a community conversation",Upcoming
2030-01-14,HIGH,Saturn->Pluto,3,11,3347.2,Saturn Opp natal Pluto (4.429°),"Network pruning. Fewer, more meaningful connections. Quality over quantity.","Cut shallow connections
Invest in 3 key relationships
Build a tight inner circle",Upcoming
2030-01-15,HIGH,Saturn->Pluto,3,11,3238.2,Saturn Opp natal Pluto (4.421°),"Network pruning. Fewer, more meaningful connections. Quality over quantity.","Cut shallow connections
Invest in 3 key relationships
Build a tight inner circle",Upcoming
2030-01-16,HIGH,Saturn->Pluto,3,11,3351.7,Saturn Opp natal Pluto (4.415°),"Network pruning. Fewer, more meaningful connections. Quality over quantity.","Cut shallow connections
Invest in 3 key relationships
Build a tight inner circle",Upcoming
2030-01-17,HIGH,Saturn->Pluto,3,11,3316.6,Saturn Opp natal Pluto (4.411°),"Network pruning. Fewer, more meaningful connections. Quality over quantity.","Cut shallow connections
Invest in 3 key relationships
Build a tight inner circle",Upcoming
2030-01-18,PEAK,Saturn->Pluto,3,11,4066.7,Saturn Opp natal Pluto (4.409°),"Network pruning. Fewer, more meaningful connections. Quality over quantity.","Cut shallow connections
Invest in 3 key relationships
Build a tight inner circle",Upcoming
2030-01-19,PEAK,Saturn->Pluto,3,11,4503.3,Saturn Opp natal Pluto (4.409°),"Network pruning. Fewer, more meaningful connections. Quality over quantity.","Cut shallow connections
Invest in 3 key relationships
Build a tight inner circle",Upcoming
2030-01-20,VERY HIGH,Saturn->Pluto,3,11,3463.6,Saturn Opp natal Pluto (4.410°),"Network pruning. Fewer, more meaningful connections. Quality over quantity.","Cut shallow connections
Invest in 3 key relationships
Build a tight inner circle",Upcoming
2030-01-21,VERY HIGH,Saturn->Pluto,3,11,3486.8,Saturn Opp natal Pluto (4.413°),"Network pruning. Fewer, more meaningful connections. Quality over quantity.","Cut shallow connections
Invest in 3 key relationships
Build a tight inner circle",Upcoming
2030-01-22,VERY HIGH,Saturn->Pluto,3,11,3567.5,Saturn Opp natal Pluto (4.419°),"Network pruning. Fewer, more meaningful connections. Quality over quantity.","Cut shallow connections
Invest in 3 key relationships
Build a tight inner circle",Upcoming
2030-01-23,HIGH,Pluto->Pluto,3,11,3187.9,Pluto Sq natal Pluto (3.847°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2030-01-25,VERY HIGH,Venus->Neptune,6,11,3631.0,Venus Conj natal Neptune (1.525°),Venus energy in H6. Bold decisions now.,"Make the major move
Act on what youve been delaying
Build something that lasts",Upcoming
2030-01-26,PEAK,Venus->Neptune,6,11,3729.2,Venus Conj natal Neptune (1.562°),Venus energy in H6. Bold decisions now.,"Make the major move
Act on what youve been delaying
Build something that lasts",Upcoming
2030-01-27,PEAK,Venus->Neptune,6,11,3838.2,Venus Conj natal Neptune (1.557°),Venus energy in H6. Bold decisions now.,"Make the major move
Act on what youve been delaying
Build something that lasts",Upcoming
2030-01-28,HIGH,Jupiter->N.Node,7,11,3211.4,Jupiter Sq natal N.Node (0.094°),"Career explosion window. Visibility, recognition, opportunity.","Apply for the big opportunity
Step into public leadership
Make bold career announcement",Upcoming
2030-01-30,HIGH,Pluto->Pluto,3,11,3256.6,Pluto Sq natal Pluto (3.630°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2030-02-02,HIGH,Pluto->Pluto,3,11,3230.0,Pluto Sq natal Pluto (3.536°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2030-02-20,PEAK,Uranus->Sun,1,11,3794.4,Uranus Sq natal Sun (6.403°),Home base restructuring. Pivot your operational base.,"Restructure workspace
Make a bold operational change
Resolve foundational issues",Upcoming
2030-03-12,VERY HIGH,Jupiter->N.Node,7,11,3469.5,Jupiter Sq natal N.Node (2.786°),"Career explosion window. Visibility, recognition, opportunity.","Apply for the big opportunity
Step into public leadership
Make bold career announcement",Upcoming
2030-03-13,VERY HIGH,Neptune->Neptune,6,11,3420.1,Neptune Sq natal Neptune (0.063°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2030-03-14,HIGH,Neptune->Neptune,6,11,3231.6,Neptune Sq natal Neptune (0.026°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2030-03-16,HIGH,Neptune->Neptune,6,11,3343.5,Neptune Sq natal Neptune (0.047°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2030-03-17,HIGH,Neptune->Neptune,6,11,3280.6,Neptune Sq natal Neptune (0.084°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2030-03-19,HIGH,Neptune->Neptune,6,11,3189.5,Neptune Sq natal Neptune (0.159°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2030-04-12,PEAK,Mercury->Saturn,6,11,3716.3,Mercury Tri natal Saturn (0.093°),"Ideas spread through your network. Publish, pitch, post.","Write and publish something bold
Send the pitch deck
Start a community conversation",Upcoming
2030-04-15,HIGH,Pluto->Pluto,3,11,3204.9,Pluto Sq natal Pluto (1.796°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2030-05-05,HIGH,Pluto->Pluto,3,11,3287.7,Pluto Sq natal Pluto (1.638°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2030-05-06,HIGH,Pluto->Pluto,3,11,3349.3,Pluto Sq natal Pluto (1.634°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2030-05-10,VERY HIGH,Pluto->Pluto,3,11,3419.9,Pluto Sq natal Pluto (1.626°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2030-05-11,HIGH,Pluto->Pluto,3,11,3375.8,Pluto Sq natal Pluto (1.625°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2030-05-12,PEAK,Pluto->Pluto,3,11,4628.4,Pluto Sq natal Pluto (1.625°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2030-05-13,HIGH,Pluto->Pluto,3,11,3206.5,Pluto Sq natal Pluto (1.625°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2030-05-14,HIGH,Pluto->Pluto,3,11,3190.5,Pluto Sq natal Pluto (1.626°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2030-07-13,PEAK,Jupiter->Pluto,3,11,4081.8,Jupiter Conj natal Pluto (4.078°),"Career explosion window. Visibility, recognition, opportunity.","Apply for the big opportunity
Step into public leadership
Make bold career announcement",Upcoming
2030-07-14,PEAK,Jupiter->Pluto,3,11,4026.4,Jupiter Conj natal Pluto (4.075°),"Career explosion window. Visibility, recognition, opportunity.","Apply for the big opportunity
Step into public leadership
Make bold career announcement",Upcoming
2030-07-15,PEAK,Jupiter->Pluto,3,11,4010.1,Jupiter Conj natal Pluto (4.074°),"Career explosion window. Visibility, recognition, opportunity.","Apply for the big opportunity
Step into public leadership
Make bold career announcement",Upcoming
2030-07-16,PEAK,Neptune->Neptune,6,11,4750.4,Neptune Sq natal Neptune (3.183°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2030-07-17,VERY HIGH,Jupiter->Pluto,3,11,3507.8,Jupiter Conj natal Pluto (4.083°),"Career explosion window. Visibility, recognition, opportunity.","Apply for the big opportunity
Step into public leadership
Make bold career announcement",Upcoming
2030-07-18,VERY HIGH,Jupiter->Pluto,3,11,3509.2,Jupiter Conj natal Pluto (4.092°),"Career explosion window. Visibility, recognition, opportunity.","Apply for the big opportunity
Step into public leadership
Make bold career announcement",Upcoming
2030-09-27,PEAK,Uranus->N.Node,7,11,4099.9,Uranus Tri natal N.Node (1.959°),Home base restructuring. Pivot your operational base.,"Restructure workspace
Make a bold operational change
Resolve foundational issues",Upcoming
2030-09-28,PEAK,Uranus->N.Node,7,11,3716.8,Uranus Tri natal N.Node (1.958°),Home base restructuring. Pivot your operational base.,"Restructure workspace
Make a bold operational change
Resolve foundational issues",Upcoming
2030-10-22,HIGH,Pluto->Pluto,3,11,3376.6,Pluto Sq natal Pluto (4.027°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2030-12-05,PEAK,Mercury->Uranus,6,11,3799.3,Mercury Conj natal Uranus (0.086°),"Ideas spread through your network. Publish, pitch, post.","Write and publish something bold
Send the pitch deck
Start a community conversation",Upcoming
2030-12-19,HIGH,Neptune->Neptune,6,11,3193.3,Neptune Sq natal Neptune (0.370°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2030-12-20,HIGH,Neptune->Neptune,6,11,3202.0,Neptune Sq natal Neptune (0.369°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2030-12-21,PEAK,Neptune->Neptune,6,11,4846.2,Neptune Sq natal Neptune (0.368°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2031-02-01,HIGH,Saturn->Uranus,6,11,3381.5,Saturn Qnx natal Uranus (0.072°),Work discipline crystallising. Build the engine.,"Build non-negotiable work routine
Document your processes
Create accountability structures",Upcoming
2031-02-02,VERY HIGH,Saturn->Uranus,6,11,3549.8,Saturn Qnx natal Uranus (0.072°),Work discipline crystallising. Build the engine.,"Build non-negotiable work routine
Document your processes
Create accountability structures",Upcoming
2031-02-16,HIGH,Jupiter->Chiron,5,11,3193.4,Jupiter Conj natal Chiron (0.060°),"Career explosion window. Visibility, recognition, opportunity.","Apply for the big opportunity
Step into public leadership
Make bold career announcement",Upcoming
2031-02-22,HIGH,Uranus->Moon,7,11,3261.1,Uranus Tri natal Moon (0.183°),Home base restructuring. Pivot your operational base.,"Restructure workspace
Make a bold operational change
Resolve foundational issues",Upcoming
2031-02-23,HIGH,Uranus->Moon,7,11,3248.5,Uranus Tri natal Moon (0.185°),Home base restructuring. Pivot your operational base.,"Restructure workspace
Make a bold operational change
Resolve foundational issues",Upcoming
2031-02-24,PEAK,Uranus->Moon,7,11,4130.8,Uranus Tri natal Moon (0.186°),Home base restructuring. Pivot your operational base.,"Restructure workspace
Make a bold operational change
Resolve foundational issues",Upcoming
2031-02-25,PEAK,Uranus->N.Node,7,11,4322.6,Uranus Tri natal N.Node (6.020°),Home base restructuring. Pivot your operational base.,"Restructure workspace
Make a bold operational change
Resolve foundational issues",Upcoming
2031-02-26,VERY HIGH,Uranus->N.Node,7,11,3467.6,Uranus Tri natal N.Node (6.020°),Home base restructuring. Pivot your operational base.,"Restructure workspace
Make a bold operational change
Resolve foundational issues",Upcoming
2031-02-27,HIGH,Uranus->N.Node,7,11,3392.5,Uranus Tri natal N.Node (6.018°),Home base restructuring. Pivot your operational base.,"Restructure workspace
Make a bold operational change
Resolve foundational issues",Upcoming
2031-03-17,HIGH,Mars->Pluto,3,11,3293.6,Mars Conj natal Pluto (7.164°),Mars energy in H3. Bold decisions now.,"Make the major move
Act on what youve been delaying
Build something that lasts",Upcoming
2031-03-18,HIGH,Mars->Pluto,3,11,3276.0,Mars Conj natal Pluto (7.290°),Mars energy in H3. Bold decisions now.,"Make the major move
Act on what youve been delaying
Build something that lasts",Upcoming
2031-03-19,HIGH,Mars->Pluto,3,11,3337.6,Mars Conj natal Pluto (7.405°),Mars energy in H3. Bold decisions now.,"Make the major move
Act on what youve been delaying
Build something that lasts",Upcoming
2031-03-20,HIGH,Mars->Pluto,3,11,3233.3,Mars Conj natal Pluto (7.509°),Mars energy in H3. Bold decisions now.,"Make the major move
Act on what youve been delaying
Build something that lasts",Upcoming
2031-03-21,HIGH,Mars->Pluto,3,11,3232.2,Mars Conj natal Pluto (7.603°),Mars energy in H3. Bold decisions now.,"Make the major move
Act on what youve been delaying
Build something that lasts",Upcoming
2031-03-22,HIGH,Mars->Pluto,3,11,3285.6,Mars Conj natal Pluto (7.685°),Mars energy in H3. Bold decisions now.,"Make the major move
Act on what youve been delaying
Build something that lasts",Upcoming
2031-03-23,HIGH,Mars->Pluto,3,11,3305.1,Mars Conj natal Pluto (7.756°),Mars energy in H3. Bold decisions now.,"Make the major move
Act on what youve been delaying
Build something that lasts",Upcoming
2031-03-24,HIGH,Mars->Pluto,3,11,3226.6,Mars Conj natal Pluto (7.816°),Mars energy in H3. Bold decisions now.,"Make the major move
Act on what youve been delaying
Build something that lasts",Upcoming
2031-03-25,HIGH,Mars->Pluto,3,11,3318.3,Mars Conj natal Pluto (7.864°),Mars energy in H3. Bold decisions now.,"Make the major move
Act on what youve been delaying
Build something that lasts",Upcoming
2031-03-26,PEAK,Mars->Pluto,3,11,3894.5,Mars Conj natal Pluto (7.900°),Mars energy in H3. Bold decisions now.,"Make the major move
Act on what youve been delaying
Build something that lasts",Upcoming
2031-03-27,PEAK,Mars->Pluto,3,11,3857.2,Mars Conj natal Pluto (7.925°),Mars energy in H3. Bold decisions now.,"Make the major move
Act on what youve been delaying
Build something that lasts",Upcoming
2031-03-28,PEAK,Mars->Pluto,3,11,3856.7,Mars Conj natal Pluto (7.937°),Mars energy in H3. Bold decisions now.,"Make the major move
Act on what youve been delaying
Build something that lasts",Upcoming
2031-03-29,PEAK,Mars->Pluto,3,11,3784.2,Mars Conj natal Pluto (7.937°),Mars energy in H3. Bold decisions now.,"Make the major move
Act on what youve been delaying
Build something that lasts",Upcoming
2031-03-30,PEAK,Mars->Pluto,3,11,3729.5,Mars Conj natal Pluto (7.925°),Mars energy in H3. Bold decisions now.,"Make the major move
Act on what youve been delaying
Build something that lasts",Upcoming
2031-03-31,HIGH,Pluto->Pluto,3,11,3300.4,Pluto Sq natal Pluto (0.483°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-04-03,HIGH,Pluto->Pluto,3,11,3256.9,Pluto Sq natal Pluto (0.428°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-04-04,HIGH,Pluto->Pluto,3,11,3243.7,Pluto Sq natal Pluto (0.410°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-04-05,HIGH,Pluto->Pluto,3,11,3252.2,Pluto Sq natal Pluto (0.393°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-04-06,HIGH,Pluto->Pluto,3,11,3233.0,Pluto Sq natal Pluto (0.376°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-04-07,HIGH,Pluto->Pluto,3,11,3183.7,Pluto Sq natal Pluto (0.359°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-04-08,VERY HIGH,Pluto->Pluto,3,11,3451.8,Pluto Sq natal Pluto (0.343°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-04-09,VERY HIGH,Pluto->Pluto,3,11,3459.8,Pluto Sq natal Pluto (0.328°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-04-10,VERY HIGH,Pluto->Pluto,3,11,3415.9,Pluto Sq natal Pluto (0.312°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-04-11,VERY HIGH,Pluto->Pluto,3,11,3443.7,Pluto Sq natal Pluto (0.297°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-04-12,VERY HIGH,Pluto->Pluto,3,11,3459.8,Pluto Sq natal Pluto (0.283°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-04-13,VERY HIGH,Pluto->Pluto,3,11,3550.4,Pluto Sq natal Pluto (0.269°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-04-14,PEAK,Jupiter->Uranus,6,11,4706.1,Jupiter Conj natal Uranus (2.939°),"Career explosion window. Visibility, recognition, opportunity.","Apply for the big opportunity
Step into public leadership
Make bold career announcement",Upcoming
2031-04-15,PEAK,Jupiter->Uranus,6,11,4692.3,Jupiter Conj natal Uranus (2.938°),"Career explosion window. Visibility, recognition, opportunity.","Apply for the big opportunity
Step into public leadership
Make bold career announcement",Upcoming
2031-04-16,VERY HIGH,Pluto->Pluto,3,11,3602.5,Pluto Sq natal Pluto (0.229°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-04-17,PEAK,Mercury->Saturn,6,11,4365.0,Mercury Sq natal Saturn (0.004°),"Ideas spread through your network. Publish, pitch, post.","Write and publish something bold
Send the pitch deck
Start a community conversation",Upcoming
2031-04-18,PEAK,Mercury->Saturn,6,11,4441.0,Mercury Sq natal Saturn (0.045°),"Ideas spread through your network. Publish, pitch, post.","Write and publish something bold
Send the pitch deck
Start a community conversation",Upcoming
2031-04-19,PEAK,Pluto->Pluto,3,11,3716.1,Pluto Sq natal Pluto (0.193°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-04-20,VERY HIGH,Pluto->Pluto,3,11,3582.2,Pluto Sq natal Pluto (0.182°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-04-21,VERY HIGH,Pluto->Pluto,3,11,3663.9,Pluto Sq natal Pluto (0.171°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-04-26,HIGH,Pluto->Pluto,3,11,3206.8,Pluto Sq natal Pluto (0.125°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-04-27,HIGH,Pluto->Pluto,3,11,3212.0,Pluto Sq natal Pluto (0.117°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-04-30,HIGH,Pluto->Pluto,3,11,3258.1,Pluto Sq natal Pluto (0.095°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-05-01,HIGH,Pluto->Pluto,3,11,3273.7,Pluto Sq natal Pluto (0.089°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-05-02,HIGH,Pluto->Pluto,3,11,3287.3,Pluto Sq natal Pluto (0.083°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-05-03,HIGH,Pluto->Pluto,3,11,3248.5,Pluto Sq natal Pluto (0.078°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-05-04,HIGH,Pluto->Pluto,3,11,3325.8,Pluto Sq natal Pluto (0.073°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-05-06,HIGH,Pluto->Pluto,3,11,3190.7,Pluto Sq natal Pluto (0.065°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-05-07,HIGH,Pluto->Pluto,3,11,3319.4,Pluto Sq natal Pluto (0.061°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-05-09,HIGH,Pluto->Pluto,3,11,3295.4,Pluto Sq natal Pluto (0.055°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-05-10,HIGH,Pluto->Pluto,3,11,3232.7,Pluto Sq natal Pluto (0.053°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-05-12,PEAK,Pluto->Pluto,3,11,3948.7,Pluto Sq natal Pluto (0.050°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-05-13,PEAK,Pluto->Pluto,3,11,4077.3,Pluto Sq natal Pluto (0.049°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-05-14,PEAK,Pluto->Pluto,3,11,6157.5,Pluto Sq natal Pluto (0.049°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-05-15,PEAK,Pluto->Pluto,3,11,4069.6,Pluto Sq natal Pluto (0.049°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-05-16,PEAK,Pluto->Pluto,3,11,3974.6,Pluto Sq natal Pluto (0.050°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-05-17,HIGH,Pluto->Pluto,3,11,3274.2,Pluto Sq natal Pluto (0.051°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-05-19,HIGH,Pluto->Pluto,3,11,3242.6,Pluto Sq natal Pluto (0.054°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-05-20,HIGH,Pluto->Pluto,3,11,3223.4,Pluto Sq natal Pluto (0.056°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-05-23,HIGH,Pluto->Pluto,3,11,3190.3,Pluto Sq natal Pluto (0.066°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-05-24,HIGH,Pluto->Pluto,3,11,3199.7,Pluto Sq natal Pluto (0.070°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-06-12,HIGH,Pluto->Pluto,3,11,3391.8,Pluto Sq natal Pluto (0.227°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-06-13,HIGH,Pluto->Pluto,3,11,3319.0,Pluto Sq natal Pluto (0.239°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-06-14,HIGH,Pluto->Pluto,3,11,3312.7,Pluto Sq natal Pluto (0.252°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-06-30,HIGH,Pluto->Pluto,3,11,3230.6,Pluto Sq natal Pluto (0.499°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2031-07-04,HIGH,Uranus->Chiron,5,11,3221.4,Uranus Opp natal Chiron (0.099°),Home base restructuring. Pivot your operational base.,"Restructure workspace
Make a bold operational change
Resolve foundational issues",Upcoming
2031-07-07,HIGH,Uranus->N.Node,7,11,3184.9,Uranus Tri natal N.Node (0.491°),Home base restructuring. Pivot your operational base.,"Restructure workspace
Make a bold operational change
Resolve foundational issues",Upcoming
