Date,Zepp_Recovery_Score_(0-100),Zepp_Stress_Score_(0-100),Mazzaroth_Transit_Intensity_(Score),Mazzaroth_Level,Mazzaroth_Transit_Pair,Notes
2032-02-14,,,3324.6,HIGH,Pluto->Pluto,
2032-02-15,,,3803.6,PEAK,Pluto->Pluto,
2032-02-16,,,4086.2,PEAK,Pluto->Pluto,
2032-02-17,,,3599.0,VERY HIGH,Pluto->Pluto,
2032-02-18,,,3350.3,HIGH,Pluto->Pluto,
2032-02-19,,,3430.9,VERY HIGH,Pluto->Pluto,
2032-02-21,,,3294.6,HIGH,Pluto->Pluto,
2032-02-26,,,3281.7,HIGH,Pluto->Pluto,
2032-02-27,,,3388.7,HIGH,Pluto->Pluto,
2032-02-28,,,3345.3,HIGH,Pluto->Pluto,
2032-02-29,,,4266.8,PEAK,Uranus->N.Node,
2032-03-01,,,3366.5,HIGH,Pluto->Pluto,
2032-03-02,,,3489.2,VERY HIGH,Pluto->Pluto,
2032-03-03,,,3470.4,VERY HIGH,Pluto->Pluto,
2032-03-05,,,3323.7,HIGH,Pluto->Pluto,
2032-03-06,,,3262.9,HIGH,Pluto->Pluto,
2032-03-07,,,3491.6,VERY HIGH,Mercury->Uranus,
2032-03-09,,,3261.0,HIGH,Pluto->Pluto,
2032-03-29,,,3425.0,VERY HIGH,Mercury->Sun,
2032-03-30,,,3518.8,VERY HIGH,Mercury->Sun,
2032-04-14,,,3203.6,HIGH,Uranus->Chiron,
2032-04-15,,,3281.4,HIGH,Uranus->Chiron,
2032-04-16,,,3187.8,HIGH,Uranus->Chiron,
2032-04-21,,,3220.2,HIGH,Pluto->Pluto,
2032-04-22,,,3208.5,HIGH,Pluto->Pluto,
2032-04-23,,,3198.6,HIGH,Pluto->Pluto,
2032-04-25,,,3186.8,HIGH,Pluto->Pluto,
2032-05-13,,,3745.1,PEAK,Pluto->Pluto,
2032-05-14,,,3584.1,VERY HIGH,Pluto->Pluto,
2032-05-15,,,5042.2,PEAK,Pluto->Pluto,
2032-05-16,,,3467.9,VERY HIGH,Pluto->Pluto,
2032-06-09,,,3181.4,HIGH,Pluto->Pluto,
2032-06-12,,,3211.4,HIGH,Pluto->Pluto,
2032-09-16,,,3595.4,VERY HIGH,Jupiter->Sun,
2032-09-17,,,3699.7,VERY HIGH,Jupiter->Sun,
2032-09-18,,,3696.8,VERY HIGH,Jupiter->Sun,
2032-10-03,,,3670.6,VERY HIGH,Uranus->Uranus,
2032-10-04,,,3646.1,VERY HIGH,Uranus->Uranus,
2032-10-05,,,3413.2,HIGH,Uranus->Uranus,
2032-10-06,,,4986.5,PEAK,Uranus->Uranus,
2032-10-07,,,3469.6,VERY HIGH,Uranus->Uranus,
2032-10-08,,,3362.3,HIGH,Uranus->Uranus,
2032-10-09,,,3421.0,VERY HIGH,Uranus->Uranus,
2032-10-14,,,3316.2,HIGH,Saturn->Neptune,
2032-10-15,,,3332.1,HIGH,Saturn->Neptune,
2032-10-16,,,3301.4,HIGH,Saturn->Neptune,
2032-10-17,,,3384.7,HIGH,Saturn->Neptune,
2032-10-18,,,4334.3,PEAK,Saturn->Neptune,
2032-10-19,,,3213.5,HIGH,Uranus->Uranus,
2032-10-20,,,3270.4,HIGH,Uranus->Uranus,
2032-10-22,,,3222.4,HIGH,Uranus->Uranus,
2032-10-23,,,3322.3,HIGH,Pluto->Pluto,
2032-10-24,,,3365.6,HIGH,Pluto->Pluto,
2032-10-25,,,4412.2,PEAK,Pluto->Pluto,
2032-10-26,,,3268.9,HIGH,Pluto->Pluto,
2032-10-27,,,3232.6,HIGH,Pluto->Pluto,
2032-11-01,,,3390.7,HIGH,Mercury->N.Node,
2032-12-23,,,3252.8,HIGH,Pluto->Pluto,
2032-12-24,,,3395.4,HIGH,Pluto->Pluto,
2032-12-25,,,4643.7,PEAK,Neptune->Neptune,
2032-12-26,,,3490.5,VERY HIGH,Pluto->Pluto,
2032-12-27,,,3667.8,VERY HIGH,Pluto->Pluto,
2032-12-28,,,3348.9,HIGH,Pluto->Pluto,
2032-12-29,,,3323.8,HIGH,Pluto->Pluto,
2032-12-30,,,3283.0,HIGH,Pluto->Pluto,
2032-12-31,,,3348.2,HIGH,Pluto->Pluto,
2033-01-01,,,3246.8,HIGH,Pluto->Pluto,
2033-01-03,,,3256.1,HIGH,Pluto->Pluto,
2033-01-04,,,3250.5,HIGH,Pluto->Pluto,
2033-02-18,,,3282.9,HIGH,Mercury->Sun,
2033-02-19,,,3184.7,HIGH,Pluto->Pluto,
2033-02-20,,,3214.7,HIGH,Pluto->Pluto,
2033-02-21,,,3244.1,HIGH,Pluto->Pluto,
2033-02-22,,,3208.1,HIGH,Pluto->Pluto,
2033-02-23,,,3298.4,HIGH,Pluto->Pluto,
2033-02-24,,,3298.0,HIGH,Pluto->Pluto,
2033-02-25,,,3483.0,VERY HIGH,Pluto->Pluto,
2033-02-26,,,4053.3,PEAK,Venus->Neptune,
2033-02-27,,,3942.1,PEAK,Venus->Jupiter,
2033-02-28,,,4952.8,PEAK,Saturn->Uranus,
2033-03-01,,,4725.0,PEAK,Saturn->Uranus,
2033-03-02,,,3872.4,PEAK,Saturn->Uranus,
2033-03-03,,,3933.6,PEAK,Saturn->Uranus,
2033-03-04,,,5083.7,PEAK,Uranus->Uranus,
2033-03-05,,,5482.9,PEAK,Uranus->Uranus,
2033-03-06,,,3361.1,HIGH,Uranus->Uranus,
2033-03-07,,,3438.6,VERY HIGH,Uranus->Uranus,
2033-03-09,,,3317.1,HIGH,Pluto->Pluto,
2033-03-10,,,3201.1,HIGH,Pluto->Pluto,
2033-03-12,,,3437.8,VERY HIGH,Mercury->N.Node,
2033-03-13,,,3223.1,HIGH,Pluto->Pluto,
2033-03-14,,,3264.1,HIGH,Pluto->Pluto,
2033-03-15,,,3434.4,VERY HIGH,Pluto->Pluto,
2033-03-16,,,3213.8,HIGH,Pluto->Pluto,
2033-03-17,,,3320.1,HIGH,Pluto->Pluto,
2033-03-18,,,3406.6,HIGH,Jupiter->N.Node,
2033-03-19,,,3349.8,HIGH,Jupiter->N.Node,
2033-03-20,,,3329.6,HIGH,Jupiter->N.Node,
2033-03-22,,,3203.4,HIGH,Jupiter->N.Node,
2033-03-23,,,3283.2,HIGH,Pluto->Pluto,
2033-03-24,,,3403.6,HIGH,Pluto->Pluto,
2033-03-25,,,3212.1,HIGH,Pluto->Pluto,
2033-03-26,,,3252.6,HIGH,Pluto->Pluto,
2033-03-27,,,3265.0,HIGH,Pluto->Pluto,
2033-03-28,,,3342.1,HIGH,Pluto->Pluto,
2033-03-29,,,3378.4,HIGH,Pluto->Pluto,
2033-03-30,,,3326.6,HIGH,Pluto->Pluto,
2033-03-31,,,3291.8,HIGH,Pluto->Pluto,
2033-04-01,,,3300.2,HIGH,Pluto->Pluto,
2033-04-04,,,3198.9,HIGH,Pluto->Pluto,
2033-04-05,,,3203.0,HIGH,Pluto->Pluto,
2033-04-06,,,3184.1,HIGH,Pluto->Pluto,
2033-04-09,,,3490.3,VERY HIGH,Venus->Sun,
2033-04-10,,,3516.9,VERY HIGH,Venus->Sun,
2033-04-11,,,3506.6,VERY HIGH,Venus->Sun,
2033-04-12,,,3341.2,HIGH,Pluto->Pluto,
2033-04-13,,,3492.8,VERY HIGH,Saturn->Uranus,
2033-04-14,,,3449.4,VERY HIGH,Saturn->Uranus,
2033-04-15,,,3383.6,HIGH,Saturn->Uranus,
2033-04-16,,,3282.6,HIGH,Pluto->Pluto,
2033-04-17,,,3280.4,HIGH,Pluto->Pluto,
2033-04-19,,,3218.2,HIGH,Pluto->Pluto,
2033-04-20,,,3368.9,HIGH,Pluto->Pluto,
2033-04-26,,,3280.6,HIGH,Pluto->Pluto,
2033-04-27,,,3233.1,HIGH,Pluto->Pluto,
2033-04-28,,,3198.8,HIGH,Pluto->Pluto,
2033-05-09,,,3198.2,HIGH,Pluto->Pluto,
2033-05-15,,,3895.0,PEAK,Pluto->Pluto,
2033-05-16,,,5799.7,PEAK,Pluto->Pluto,
2033-05-17,,,3752.4,PEAK,Pluto->Pluto,
2033-05-18,,,3654.6,VERY HIGH,Pluto->Pluto,
2033-05-24,,,3602.2,VERY HIGH,Mars->Neptune,
2033-05-25,,,3553.1,VERY HIGH,Mars->Neptune,
2033-05-26,,,3496.6,VERY HIGH,Mars->Neptune,
2033-05-27,,,3536.3,VERY HIGH,Mars->Neptune,
2033-05-28,,,3525.1,VERY HIGH,Mars->Neptune,
2033-06-02,,,3247.0,HIGH,Pluto->Pluto,
2033-06-03,,,3268.5,HIGH,Pluto->Pluto,
2033-06-04,,,3300.7,HIGH,Pluto->Pluto,
2033-06-05,,,3270.6,HIGH,Pluto->Pluto,
2033-06-07,,,3197.4,HIGH,Pluto->Pluto,
2033-06-08,,,3220.9,HIGH,Pluto->Pluto,
2033-06-09,,,3413.5,HIGH,Saturn->Saturn,
2033-06-10,,,3459.3,VERY HIGH,Saturn->Saturn,
2033-06-11,,,3331.9,HIGH,Pluto->Pluto,
2033-06-12,,,3402.0,HIGH,Saturn->Jupiter,
2033-06-13,,,3540.5,VERY HIGH,Saturn->Jupiter,
2033-06-14,,,3433.4,VERY HIGH,Pluto->Pluto,
2033-06-15,,,3382.4,HIGH,Mars->Neptune,
2033-06-16,,,3498.2,VERY HIGH,Pluto->Pluto,
2033-06-17,,,3431.8,VERY HIGH,Uranus->Uranus,
2033-06-18,,,3407.8,HIGH,Uranus->Uranus,
2033-06-19,,,3571.1,VERY HIGH,Uranus->Uranus,
2033-06-20,,,3936.4,PEAK,Mercury->Neptune,
2033-06-21,,,3796.9,PEAK,Mercury->Neptune,
2033-06-22,,,3592.6,VERY HIGH,Uranus->Uranus,
2033-06-23,,,3706.0,VERY HIGH,Uranus->Uranus,
2033-06-24,,,4123.9,PEAK,Jupiter->Pluto,
2033-06-25,,,4013.9,PEAK,Jupiter->Pluto,
2033-06-26,,,3842.5,PEAK,Jupiter->Pluto,
2033-06-27,,,3265.1,HIGH,Uranus->Uranus,
2033-06-29,,,3217.8,HIGH,Uranus->Uranus,
2033-06-30,,,3277.3,HIGH,Uranus->Uranus,
2033-07-01,,,3288.2,HIGH,Uranus->Uranus,
2033-07-14,,,3722.5,PEAK,Mercury->Jupiter,
2033-07-15,,,3726.4,PEAK,Mercury->Jupiter,
2033-07-22,,,3593.5,VERY HIGH,Neptune->N.Node,
2033-07-23,,,3285.3,HIGH,Saturn->Pluto,
2033-07-24,,,3244.0,HIGH,Saturn->Pluto,
2033-07-30,,,3492.1,VERY HIGH,Mars->Uranus,
2033-07-31,,,3464.4,VERY HIGH,Mars->Uranus,
2033-08-01,,,3527.2,VERY HIGH,Mars->Uranus,
2033-08-02,,,3506.9,VERY HIGH,Mars->Uranus,
2033-10-10,,,4322.0,PEAK,Uranus->Neptune,
2033-10-11,,,4024.5,PEAK,Uranus->Neptune,
2033-10-27,,,4183.9,PEAK,Pluto->Pluto,
2033-12-27,,,3453.8,VERY HIGH,Neptune->Mercury,
2034-02-23,,,3618.2,VERY HIGH,Mercury->Pluto,
2034-02-24,,,3333.6,HIGH,Mercury->Pluto,
2034-02-25,,,3312.5,HIGH,Pluto->N.Node,
2034-02-26,,,3430.7,VERY HIGH,Pluto->N.Node,
2034-02-27,,,3196.9,HIGH,Pluto->N.Node,
2034-02-28,,,3182.4,HIGH,Pluto->N.Node,
2034-03-01,,,3206.5,HIGH,Uranus->Uranus,
2034-03-02,,,3282.2,HIGH,Uranus->Uranus,
2034-03-03,,,3355.0,HIGH,Uranus->Uranus,
2034-03-04,,,3556.6,VERY HIGH,Uranus->Uranus,
2034-03-05,,,3524.5,VERY HIGH,Uranus->Uranus,
2034-03-06,,,4049.1,PEAK,Uranus->Uranus,
2034-03-07,,,4064.3,PEAK,Uranus->Uranus,
2034-03-08,,,4116.2,PEAK,Uranus->Uranus,
2034-03-09,,,5553.8,PEAK,Uranus->Uranus,
2034-03-10,,,4094.9,PEAK,Uranus->Uranus,
2034-03-11,,,4441.3,PEAK,Uranus->Uranus,
2034-03-12,,,4492.5,PEAK,Uranus->Uranus,
2034-03-13,,,3824.0,PEAK,Uranus->Uranus,
2034-03-14,,,4011.0,PEAK,Uranus->Uranus,
2034-03-15,,,4799.2,PEAK,Saturn->Neptune,
2034-03-16,,,5024.2,PEAK,Saturn->Neptune,
2034-03-17,,,4002.4,PEAK,Uranus->Uranus,
2034-03-18,,,3961.4,PEAK,Uranus->Uranus,
2034-03-19,,,3860.3,PEAK,Pluto->N.Node,
2034-03-20,,,3513.1,VERY HIGH,Pluto->N.Node,
2034-03-21,,,3320.1,HIGH,Pluto->N.Node,
2034-03-22,,,3400.5,HIGH,Pluto->N.Node,
2034-03-23,,,3373.6,HIGH,Pluto->N.Node,
2034-03-24,,,3310.5,HIGH,Pluto->N.Node,
2034-03-25,,,3317.6,HIGH,Pluto->N.Node,
2034-03-26,,,3442.2,VERY HIGH,Pluto->N.Node,
2034-03-27,,,3378.0,HIGH,Pluto->N.Node,
2034-03-28,,,3316.3,HIGH,Pluto->N.Node,
2034-03-29,,,3256.1,HIGH,Pluto->N.Node,
2034-03-30,,,3262.8,HIGH,Pluto->N.Node,
2034-03-31,,,3305.1,HIGH,Pluto->N.Node,
2034-04-01,,,3250.6,HIGH,Pluto->N.Node,
2034-04-02,,,3345.7,HIGH,Pluto->N.Node,
2034-04-03,,,3397.3,HIGH,Pluto->N.Node,
2034-04-04,,,3289.6,HIGH,Pluto->N.Node,
2034-04-05,,,3302.0,HIGH,Pluto->N.Node,
2034-04-06,,,3265.8,HIGH,Pluto->N.Node,
2034-04-07,,,3355.0,HIGH,Pluto->N.Node,
2034-04-08,,,3292.8,HIGH,Pluto->N.Node,
2034-04-09,,,3323.7,HIGH,Pluto->N.Node,
2034-04-10,,,3410.1,HIGH,Pluto->N.Node,
2034-04-11,,,3324.0,HIGH,Pluto->N.Node,
2034-04-12,,,3267.2,HIGH,Pluto->N.Node,
2034-04-13,,,3344.4,HIGH,Pluto->N.Node,
2034-04-14,,,3385.5,HIGH,Pluto->N.Node,
2034-04-15,,,3375.7,HIGH,Pluto->N.Node,
2034-04-16,,,3418.7,VERY HIGH,Pluto->N.Node,
2034-04-17,,,3272.9,HIGH,Pluto->N.Node,
2034-04-19,,,3314.9,HIGH,Pluto->N.Node,
2034-04-20,,,3227.2,HIGH,Pluto->N.Node,
2034-04-21,,,3199.1,HIGH,Pluto->N.Node,
2034-04-22,,,3224.1,HIGH,Pluto->N.Node,
2034-04-23,,,3321.1,HIGH,Pluto->N.Node,
2034-04-24,,,3294.8,HIGH,Pluto->N.Node,
2034-04-25,,,3186.3,HIGH,Pluto->N.Node,
2034-04-26,,,3323.4,HIGH,Pluto->N.Node,
2034-04-27,,,3325.4,HIGH,Pluto->N.Node,
2034-04-28,,,3360.8,HIGH,Pluto->N.Node,
2034-04-29,,,3397.9,HIGH,Pluto->N.Node,
2034-04-30,,,3493.4,VERY HIGH,Pluto->N.Node,
2034-05-01,,,3252.2,HIGH,Pluto->N.Node,
2034-05-02,,,3354.3,HIGH,Pluto->N.Node,
2034-05-03,,,3355.3,HIGH,Pluto->N.Node,
2034-05-04,,,3296.6,HIGH,Pluto->N.Node,
2034-05-05,,,3243.3,HIGH,Pluto->N.Node,
2034-05-06,,,3359.2,HIGH,Pluto->N.Node,
2034-05-07,,,3339.2,HIGH,Pluto->N.Node,
2034-05-08,,,3348.7,HIGH,Pluto->N.Node,
2034-05-09,,,3383.5,HIGH,Pluto->N.Node,
2034-05-10,,,3375.4,HIGH,Pluto->N.Node,
2034-05-11,,,3433.4,VERY HIGH,Pluto->N.Node,
2034-05-12,,,3249.3,HIGH,Pluto->N.Node,
2034-05-13,,,3355.1,HIGH,Pluto->N.Node,
2034-05-14,,,3465.7,VERY HIGH,Pluto->N.Node,
2034-05-15,,,3393.9,HIGH,Pluto->N.Node,
2034-05-16,,,4227.8,PEAK,Pluto->N.Node,
2034-05-17,,,4204.9,PEAK,Pluto->N.Node,
2034-05-18,,,6583.4,PEAK,Pluto->N.Node,
2034-05-19,,,4002.8,PEAK,Pluto->N.Node,
2034-05-20,,,3985.3,PEAK,Pluto->N.Node,
2034-05-21,,,3191.1,HIGH,Pluto->N.Node,
2034-05-25,,,3221.3,HIGH,Pluto->N.Node,
2034-05-26,,,3209.0,HIGH,Pluto->N.Node,
2034-05-28,,,3242.6,HIGH,Pluto->N.Node,
2034-05-29,,,3283.6,HIGH,Pluto->N.Node,
2034-05-30,,,3364.3,HIGH,Pluto->N.Node,
2034-05-31,,,3337.6,HIGH,Pluto->N.Node,
2034-06-01,,,3819.0,PEAK,Mercury->Uranus,
2034-06-02,,,3661.0,VERY HIGH,Mercury->Uranus,
2034-06-03,,,3334.2,HIGH,Pluto->N.Node,
2034-06-04,,,3360.9,HIGH,Pluto->N.Node,
2034-06-05,,,3201.9,HIGH,Pluto->N.Node,
2034-06-10,,,3248.9,HIGH,Pluto->N.Node,
2034-06-12,,,3220.9,HIGH,Pluto->N.Node,
2034-06-13,,,3190.9,HIGH,Pluto->N.Node,
2034-06-21,,,3205.7,HIGH,Pluto->N.Node,
2034-06-22,,,3288.1,HIGH,Pluto->N.Node,
2034-06-23,,,3303.4,HIGH,Pluto->N.Node,
2034-06-24,,,3218.3,HIGH,Pluto->N.Node,
2034-06-25,,,3479.2,VERY HIGH,Mercury->Moon,
2034-06-26,,,3584.5,VERY HIGH,Mercury->N.Node,
2034-06-28,,,3193.2,HIGH,Pluto->N.Node,
2034-06-29,,,3224.2,HIGH,Pluto->N.Node,
2034-07-23,,,3209.8,HIGH,Pluto->N.Node,
2034-07-24,,,3345.5,HIGH,Uranus->Saturn,
2034-07-25,,,3709.6,VERY HIGH,Neptune->N.Node,
2034-07-26,,,3226.1,HIGH,Uranus->Saturn,
2034-07-27,,,3588.5,VERY HIGH,Uranus->Saturn,
2034-07-28,,,3403.2,HIGH,Pluto->N.Node,
2034-07-29,,,3372.1,HIGH,Pluto->N.Node,
2034-07-30,,,3444.9,VERY HIGH,Uranus->Jupiter,
2034-07-31,,,3424.7,VERY HIGH,Uranus->Jupiter,
2034-08-01,,,4235.3,PEAK,Jupiter->Neptune,
2034-08-02,,,4288.5,PEAK,Jupiter->Neptune,
2034-08-03,,,4013.2,PEAK,Jupiter->Neptune,
2034-08-04,,,3356.2,HIGH,Pluto->N.Node,
2034-08-05,,,3245.7,HIGH,Pluto->N.Node,
2034-08-06,,,3255.7,HIGH,Pluto->N.Node,
2034-08-07,,,3324.2,HIGH,Pluto->N.Node,
2034-08-08,,,3216.7,HIGH,Pluto->N.Node,
2034-08-17,,,3206.5,HIGH,Pluto->N.Node,
2034-09-26,,,3318.0,HIGH,Uranus->Neptune,
2034-09-27,,,3364.9,HIGH,Uranus->Neptune,
2034-09-28,,,3275.5,HIGH,Uranus->Neptune,
2034-09-29,,,4033.5,PEAK,Venus->Pluto,
2034-09-30,,,3607.6,VERY HIGH,Venus->Pluto,
2034-10-01,,,3667.9,VERY HIGH,Venus->Pluto,
2034-10-14,,,3191.4,HIGH,Uranus->Neptune,
2034-10-15,,,4749.0,PEAK,Uranus->Neptune,
2034-10-16,,,4588.9,PEAK,Uranus->Neptune,
2034-10-17,,,3282.1,HIGH,Uranus->Neptune,
2034-10-18,,,3227.9,HIGH,Uranus->Neptune,
2034-10-27,,,3287.2,HIGH,Pluto->Pluto,
2034-10-28,,,3313.4,HIGH,Pluto->Pluto,
2034-10-29,,,5279.3,PEAK,Pluto->Pluto,
2034-10-30,,,3509.7,VERY HIGH,Pluto->Pluto,
2034-11-11,,,3320.1,HIGH,Uranus->Neptune,
2034-11-15,,,3383.3,HIGH,Uranus->Neptune,
2034-11-16,,,3197.7,HIGH,Uranus->Neptune,
2034-11-23,,,3266.7,HIGH,Uranus->Neptune,
2034-11-24,,,3181.6,HIGH,Uranus->Neptune,
2034-11-27,,,4369.8,PEAK,Jupiter->Neptune,
2034-11-28,,,4406.6,PEAK,Jupiter->Neptune,
2034-11-29,,,4568.5,PEAK,Jupiter->Neptune,
2034-12-30,,,3441.5,VERY HIGH,Neptune->Chiron,
2035-02-05,,,3250.0,HIGH,Pluto->N.Node,
2035-02-06,,,3361.2,HIGH,Pluto->N.Node,
2035-02-07,,,3217.8,HIGH,Pluto->N.Node,
2035-02-08,,,3264.4,HIGH,Pluto->N.Node,
2035-02-12,,,3266.5,HIGH,Pluto->N.Node,
2035-02-13,,,3196.3,HIGH,Pluto->N.Node,
2035-03-04,,,3228.0,HIGH,Pluto->N.Node,
2035-03-11,,,3422.8,VERY HIGH,Pluto->N.Node,
2035-03-12,,,3331.0,HIGH,Pluto->N.Node,
2035-03-13,,,3420.7,VERY HIGH,Pluto->N.Node,
2035-03-14,,,4800.2,PEAK,Uranus->Neptune,
2035-03-15,,,3381.9,HIGH,Uranus->Neptune,
2035-03-16,,,3588.5,VERY HIGH,Uranus->Neptune,
2035-03-17,,,3486.8,VERY HIGH,Uranus->Neptune,
2035-03-30,,,3361.8,HIGH,Saturn->Venus,
2035-05-11,,,3222.8,HIGH,Uranus->Saturn,
2035-05-12,,,3401.9,HIGH,Uranus->Saturn,
2035-05-13,,,3347.3,HIGH,Uranus->Saturn,
2035-05-14,,,3224.8,HIGH,Uranus->Saturn,
2035-05-15,,,3220.7,HIGH,Pluto->N.Node,
2035-05-17,,,3273.3,HIGH,Pluto->N.Node,
2035-05-18,,,3831.5,PEAK,Pluto->N.Node,
2035-05-19,,,3879.5,PEAK,Pluto->N.Node,
2035-05-20,,,5971.8,PEAK,Pluto->N.Node,
2035-05-21,,,3852.8,PEAK,Pluto->N.Node,
2035-05-22,,,3760.0,PEAK,Pluto->N.Node,
2035-06-01,,,3186.8,HIGH,Pluto->N.Node,
2035-06-03,,,3245.5,HIGH,Pluto->N.Node,
2035-06-04,,,3190.8,HIGH,Pluto->N.Node,
2035-06-05,,,3203.3,HIGH,Mercury->N.Node,
2035-06-06,,,3254.7,HIGH,Mercury->N.Node,
2035-06-24,,,3182.9,HIGH,Uranus->Neptune,
2035-06-25,,,3204.5,HIGH,Uranus->Neptune,
2035-07-01,,,3212.1,HIGH,Uranus->Neptune,
2035-07-02,,,3262.4,HIGH,Jupiter->Pluto,
2035-07-03,,,3268.0,HIGH,Pluto->Moon,
2035-07-04,,,3301.2,HIGH,Pluto->Moon,
2035-07-05,,,3303.5,HIGH,Pluto->Moon,
2035-07-07,,,3268.8,HIGH,Pluto->Moon,
2035-07-08,,,3267.5,HIGH,Pluto->Moon,
2035-07-09,,,3277.9,HIGH,Pluto->Moon,
2035-07-10,,,3481.2,VERY HIGH,Pluto->Moon,
2035-07-11,,,3319.5,HIGH,Pluto->Moon,
2035-07-27,,,3945.0,PEAK,Neptune->N.Node,
2035-07-28,,,3825.1,PEAK,Neptune->N.Node,
2035-08-10,,,3258.3,HIGH,Pluto->Moon,
2035-08-11,,,3278.6,HIGH,Pluto->Moon,
2035-08-13,,,3675.7,VERY HIGH,Mars->Sun,
2035-08-14,,,3674.0,VERY HIGH,Mars->Sun,
2035-08-15,,,3533.9,VERY HIGH,Mars->Sun,
2035-08-16,,,3552.1,VERY HIGH,Mars->Sun,
2035-08-17,,,3202.0,HIGH,Uranus->Pluto,
2035-08-18,,,3263.7,HIGH,Uranus->Pluto,
2035-08-24,,,3256.9,HIGH,Uranus->Pluto,
2035-09-03,,,3221.8,HIGH,Jupiter->Pluto,
2035-09-04,,,3324.4,HIGH,Jupiter->Pluto,
2035-09-05,,,3263.0,HIGH,Jupiter->Pluto,
2035-09-06,,,3447.1,VERY HIGH,Jupiter->Pluto,
2035-09-07,,,3443.5,VERY HIGH,Jupiter->Pluto,
2035-09-08,,,4117.7,PEAK,Jupiter->Pluto,
2035-09-09,,,4203.8,PEAK,Jupiter->Sun,
2035-09-10,,,3547.9,VERY HIGH,Jupiter->Sun,
2035-09-11,,,3667.0,VERY HIGH,Jupiter->Sun,
2035-09-12,,,3976.8,PEAK,Mercury->Mercury,
2035-09-13,,,3373.4,HIGH,Jupiter->Sun,
2035-09-14,,,3382.0,HIGH,Jupiter->Sun,
2035-10-04,,,3744.0,PEAK,Mercury->Mars,
2035-10-05,,,3314.0,HIGH,Pluto->N.Node,
2035-10-06,,,3282.6,HIGH,Pluto->N.Node,
2035-10-13,,,3468.7,VERY HIGH,Mars->Sun,
2035-10-14,,,3476.1,VERY HIGH,Mars->Sun,
2035-10-15,,,3642.4,VERY HIGH,Mars->Sun,
2035-10-16,,,3563.0,VERY HIGH,Mars->Sun,
2035-10-17,,,3673.9,VERY HIGH,Uranus->Neptune,
2035-10-18,,,3720.0,PEAK,Uranus->Neptune,
2035-10-19,,,3638.3,VERY HIGH,Uranus->Neptune,
2035-10-20,,,4908.5,PEAK,Uranus->Neptune,
2035-10-21,,,3514.8,VERY HIGH,Uranus->Neptune,
2035-10-22,,,3388.4,HIGH,Uranus->Neptune,
2035-10-23,,,3314.6,HIGH,Uranus->Neptune,
2035-10-29,,,3753.2,PEAK,Pluto->N.Node,
2035-10-30,,,3702.1,VERY HIGH,Pluto->N.Node,
2035-10-31,,,3893.7,PEAK,Pluto->N.Node,
2035-11-01,,,3872.4,PEAK,Pluto->N.Node,
2035-11-25,,,3223.1,HIGH,Saturn->N.Node,
2035-11-26,,,3199.7,HIGH,Saturn->N.Node,
2035-11-28,,,3263.5,HIGH,Saturn->N.Node,
2035-11-29,,,4164.6,PEAK,Saturn->N.Node,
2035-11-30,,,3966.0,PEAK,Saturn->Moon,
2035-12-01,,,3376.6,HIGH,Pluto->N.Node,
2035-12-02,,,3442.7,VERY HIGH,Pluto->N.Node,
2035-12-03,,,3309.1,HIGH,Pluto->N.Node,
2035-12-05,,,3210.7,HIGH,Pluto->N.Node,
2035-12-06,,,3273.1,HIGH,Pluto->N.Node,
2035-12-09,,,3471.1,VERY HIGH,Pluto->N.Node,
2035-12-12,,,3223.3,HIGH,Pluto->N.Node,
2035-12-13,,,3295.7,HIGH,Pluto->N.Node,
2035-12-14,,,3215.0,HIGH,Pluto->N.Node,
2035-12-15,,,3354.5,HIGH,Uranus->Pluto,
2035-12-16,,,3392.1,HIGH,Uranus->Pluto,
2035-12-17,,,3239.6,HIGH,Uranus->Pluto,
2035-12-18,,,3390.8,HIGH,Uranus->Pluto,
2035-12-19,,,3321.2,HIGH,Uranus->Pluto,
2035-12-20,,,3211.1,HIGH,Pluto->N.Node,
2035-12-22,,,3325.2,HIGH,Pluto->N.Node,
2035-12-24,,,3259.5,HIGH,Pluto->N.Node,
2035-12-30,,,3522.9,VERY HIGH,Pluto->N.Node,
2035-12-31,,,3709.7,VERY HIGH,Pluto->N.Node,
2036-01-01,,,3941.2,PEAK,Neptune->N.Node,
2036-01-02,,,3466.4,VERY HIGH,Pluto->N.Node,
2036-01-03,,,4153.3,PEAK,Jupiter->Neptune,
2036-01-04,,,3943.0,PEAK,Jupiter->Neptune,
2036-01-05,,,3989.2,PEAK,Jupiter->Neptune,
2036-01-06,,,3231.8,HIGH,Pluto->N.Node,
2036-01-20,,,3460.6,VERY HIGH,Mercury->Neptune,
2036-02-08,,,3305.7,HIGH,Pluto->N.Node,
2036-02-09,,,3219.2,HIGH,Pluto->N.Node,
2036-02-14,,,3193.5,HIGH,Pluto->N.Node,
2036-02-29,,,3355.9,HIGH,Pluto->N.Node,
2036-03-01,,,3230.0,HIGH,Saturn->Pluto,
2036-03-03,,,3188.7,HIGH,Saturn->Pluto,
2036-03-06,,,3256.5,HIGH,Pluto->N.Node,
2036-03-07,,,3253.9,HIGH,Pluto->N.Node,
2036-03-10,,,3224.3,HIGH,Pluto->N.Node,
2036-03-15,,,3562.4,VERY HIGH,Pluto->N.Node,
2036-03-16,,,3547.1,VERY HIGH,Pluto->N.Node,
